uri_doremus,uri_wikidata,name_score,born_score,death_score,total_score
http://data.doremus.org/artist/1d6e7724-23e4-3e05-86b5-1d785681d21a,http://www.wikidata.org/entity/Q429147,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1db1862b-b44f-3d32-aa55-ad5c12e19146,http://www.wikidata.org/entity/Q1384693,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1dc2f6bc-729d-3bb5-82f3-260a6e45aaac,http://www.wikidata.org/entity/Q156300,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1dfd7900-ba90-39d9-ab21-50700e04379f,http://www.wikidata.org/entity/Q348282,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1ef064f3-fcc0-3872-b303-46e7e47c9c95,http://www.wikidata.org/entity/Q389000,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1f0e95cb-e8ad-3ca5-965a-f51a29ff526a,http://www.wikidata.org/entity/Q3260260,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1f1c9292-087a-3ac7-b854-84e213e69dc6,http://www.wikidata.org/entity/Q7314,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1f3aac34-ca78-3408-aae1-6e9246871fc4,http://www.wikidata.org/entity/Q919127,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1f4e643e-4420-3c80-b59c-fab0a5a0f4d6,http://www.wikidata.org/entity/Q1352656,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1f56799b-76e8-380c-83b8-832dec7a954a,http://www.wikidata.org/entity/Q519693,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1f76d196-3e35-3bcc-bb34-86afba32c3a8,http://www.wikidata.org/entity/Q185812,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1fb98c60-7d12-3d17-a4f2-cefcde588528,http://www.wikidata.org/entity/Q559269,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1fdf9de1-0697-3a3d-bb7c-0161488ce05b,http://www.wikidata.org/entity/Q124772,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1fdfe9b5-875f-374b-9b0d-c51b09fab0dd,http://www.wikidata.org/entity/Q164732,1.0,1.0,1.0,3.0
http://data.doremus.org/artist/1fed6e30-c73b-30c4-b7ef-8a45a7ebdd9f,http://www.wikidata.org/entity/Q542232,1.0,1.0,1.0,3.0
