3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,coordinates
http://data.linkedevents.org/location/0cac804e-4909-3326-83a6-c24757325011,Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,100.0,"(43.7036, 7.31208)"
http://data.linkedevents.org/location/c827deef-47f2-369a-8f3a-59a4f76a3dc4,Villefranche-sur-Mer,Villefranche-sur-Mer,http://dbpedia.org/resource/Villefranche-sur-Mer,100.0,"(43.7042, 7.31167)"
http://data.linkedevents.org/location/7d6d0cad-d27e-365d-9751-236b3563baef,drap,Drap,http://dbpedia.org/resource/Drap,100.0,"(43.751, 7.32169)"
http://data.linkedevents.org/location/45624bb8-ead6-327c-9c72-b5fcec1252a3,villa Kerylos,Villa Kerylos,http://dbpedia.org/resource/Villa_Kerylos,100.0,"(43.6943, 7.27809)"
http://data.linkedevents.org/location/e5a7b599-f1a3-34c3-aa96-b8976fde65e2,Ницца,Ницца,http://dbpedia.org/resource/Nice,100.0,"(43.7034, 7.2663)"
http://data.linkedevents.org/location/01efe89a-f3c9-3941-a431-1e2167a3c1c6,ملعب تشارلز-أرمان,ملعب تشارلز-أرمان,http://dbpedia.org/resource/Stade_Charles-Ehrmann,100.0,"(43.6783, 7.19778)"
http://data.linkedevents.org/location/25cf9930-650e-41c8-9e7f-987666e2f721,Musée d'art moderne et d'art contemprorain,Musée d'Art Moderne et d'Art Contemporain,http://dbpedia.org/resource/Musée_d'art_moderne_et_d'art_contemporain,98.6,"(43.7014, 7.27852)"
http://data.linkedevents.org/location/f9b67ce3-84e3-35b4-b498-d617ef454a77,Olympique Gymnase Club Nice Côte d'Azur,Olympique Gymnaste Club Nice Côte d'Azur,http://dbpedia.org/resource/OGC_Nice,98.2,"(43.7243, 7.2587)"
http://data.linkedevents.org/location/5b9d3677-9ad5-3643-94ac-6e72541c2833,Acropolis,Acropolis (Nice),http://dbpedia.org/resource/Palais_des_Congrès_Acropolis,98.0,"(43.6794, 7.20115)"
http://data.linkedevents.org/location/c19f553c-06cd-3dee-8626-fa4e801fc664,Acropolis,Acropolis (Nice),http://dbpedia.org/resource/Palais_des_Congrès_Acropolis,98.0,"(43.7047, 7.2808)"
http://data.linkedevents.org/location/9a5dc035-9263-357b-8d7b-cf22476b6989,Au Parc Phoenix Nice,Parc Phœnix,http://dbpedia.org/resource/Parc_Phœnix,97.4,"(43.6682, 7.21531)"
http://data.linkedevents.org/location/19a7b596-f6eb-3161-88a5-b54fe7640876,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4,"(43.6917, 7.24577)"
http://data.linkedevents.org/location/3951c4aa-c112-3891-938e-1277e023228f,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4,"(43.6919, 7.24483)"
http://data.linkedevents.org/location/e4a459b4-83b7-3000-bfc4-bd2f97a6b812,Magnan,Magnan (Nice),http://dbpedia.org/resource/Magnan_(river),97.4,"(43.6903, 7.24583)"
http://data.linkedevents.org/location/2aac7f79-9c93-3c37-8325-3f3646f2c275,Au Château De Nice,Château de Nice,http://dbpedia.org/resource/Castle_of_Nice,97.2,"(43.7253, 7.28531)"
http://data.linkedevents.org/location/93df7523-3b28-3a9e-b745-97be2eecc7b8,Dojo Saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,97.2,"(43.6879, 7.18402)"
http://data.linkedevents.org/location/5cb16447-06b1-3450-851b-f903dd619515,Le Negresco Nice,Negresco,http://dbpedia.org/resource/Hotel_Negresco,97.0,"(43.6695, 7.2165)"
http://data.linkedevents.org/location/5f0763a9-c71e-3633-9b7e-5d781bcf6deb,Le Paillon,Paillon,http://dbpedia.org/resource/Paillon,96.8,"(43.7119, 7.28395)"
http://data.linkedevents.org/location/d8651d73-c7d3-38a7-a3a7-10adc8385f9b,Le Paillon,Paillon,http://dbpedia.org/resource/Paillon,96.8,"(43.7359, 7.3045)"
http://data.linkedevents.org/location/d5dc87d3-e5da-3766-8bf0-f969fe67874f,"[u'ACTUAL SAINT LAURENT DU VAR', u""Actual l'Agencemploi""]",Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.6,"(43.6776, 7.19056)"
http://data.linkedevents.org/location/57de060e-82b6-3749-bc1a-b4609915b0d5,Common Saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.6,"(43.6776, 7.18386)"
http://data.linkedevents.org/location/f2ceec1c-efae-3d19-b6fa-b7b87bede75f,Common Saint Laurent Du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.6,"(43.6745, 7.188)"
http://data.linkedevents.org/location/2fb8af44-c116-3e3b-a9a9-affe5149f749,EEDF Saint Laurent du Var,Saint-Laurent-du-Var,http://dbpedia.org/resource/Saint-Laurent-du-Var,96.4,"(43.6734, 7.22533)"
