3cixty_uri,3cixty_label,dbpedia_label,dbpedia_uri,score,correct
http://data.linkedevents.org/location/92fc831b-1766-33c1-91a4-d5b6cf31285e,Promenade du Paillon,Promenade du Paillon,http://www.wikidata.org/entity/Q16510514,100.00.00,y
http://data.linkedevents.org/location/3f85a881-3445-3668-b393-7ddeaf7e1792,Quartier du port,quartier du port,http://www.wikidata.org/entity/Q3413294,100.00.00,y
http://data.linkedevents.org/location/69e7b5b8-91f1-3c2b-a61b-f1e9783d4b60,Rade de Villefranche,Rade de Villefranche,http://www.wikidata.org/entity/Q16510586,100.00.00,y
http://data.linkedevents.org/location/ffc2adaf-5478-3402-8985-6cd21edd092b,Saint-André-de-la-Roche,Saint-André-de-la-Roche,http://www.wikidata.org/entity/Q746896,100.00.00,y
http://data.linkedevents.org/location/8c3490cf-d609-4a96-8b78-542de8aa3754,Stade du Ray,stade du Ray,http://www.wikidata.org/entity/Q1469394,100.00.00,y
http://data.linkedevents.org/location/96a9895b-051a-4ff6-88f4-ab119bc84bdf,Théatre National de Nice,théâtre national de Nice,http://www.wikidata.org/entity/Q3527885,100.00.00,y
http://data.linkedevents.org/location/81d8b993-e0a8-3c64-8999-3519e02b54d6,Tunnel de Las Planas,tunnel de Las Planas,http://www.wikidata.org/entity/Q3542142,100.00.00,y
http://data.linkedevents.org/location/f4e6f09d-4cac-3ca1-a1a5-8d9ce6aef9e1,Viaduc de l'Oli,viaduc de l'Oli,http://www.wikidata.org/entity/Q3556639,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/8926a1ca-300c-342f-a018-85a913d8f4a3,Viaduc de l'Oli,viaduc de l'Oli,http://www.wikidata.org/entity/Q3556639,100.00.00,y
http://data.linkedevents.org/location/0c925d91-79be-3e35-98b3-f735aaba6108,Viaduc du Magnan,viaduc du Magnan,http://www.wikidata.org/entity/Q3556706,100.00.00,y
http://data.linkedevents.org/location/2878441c-d3c8-3a07-b2b9-f24495876af7,Viaduc du Vallon des Fleurs,viaduc du Vallon des Fleurs,http://www.wikidata.org/entity/Q3556721,100.00.00,y
http://data.linkedevents.org/location/45eff589-7a02-390b-93d7-68ee49f4db25,Vieux-Nice,Vieux-Nice,http://www.wikidata.org/entity/Q3558059,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/36a26941-fec4-33dd-afc5-5989d34a9d15,Villa Arson,villa Arson,http://www.wikidata.org/entity/Q1107189,100.00.00,y
http://data.linkedevents.org/location/987614d9-4631-30fd-bd8c-5439f040d4b5,Villa Beau Site,villa Beau Site,http://www.wikidata.org/entity/Q3558462,100.00.00,y
http://data.linkedevents.org/location/e924c2b4-fd26-3610-a746-6dcc73cd68c1,Villa Leopolda,villa Leopolda,http://www.wikidata.org/entity/Q1495042,100.00.00,y
http://data.linkedevents.org/location/d8430e07-cd64-31d6-804f-bda1f16ffc93,Villa Paradiso,villa Paradiso,http://www.wikidata.org/entity/Q3558695,100.00.00,y
http://data.linkedevents.org/location/0cac804e-4909-3326-83a6-c24757325011,Villefranche-sur-Mer,Villefranche-sur-Mer,http://www.wikidata.org/entity/Q207080,100.00.00,y
http://data.linkedevents.org/location/c827deef-47f2-369a-8f3a-59a4f76a3dc4,Villefranche-sur-Mer,Villefranche-sur-Mer,http://www.wikidata.org/entity/Q207080,100.00.00,y
http://data.linkedevents.org/location/4246c7d3-a75a-3e92-8076-a30942163b19,Zygofolis,Zygofolis,http://www.wikidata.org/entity/Q3576402,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/5e1bc5f2-a30d-3211-8fc1-afb2183f2316,gare de La Trinité-Victor,gare de La Trinité-Victor,http://www.wikidata.org/entity/Q3096816,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/6b708f71-d1ba-306a-b769-2fb536e886fc,gare de Nice-Pont-Michel,gare de Nice-Pont-Michel,http://www.wikidata.org/entity/Q18749562,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/cbb9335f-84c1-3ec9-a582-e2b195102b69,gare de Nice-Riquier,gare de Nice-Riquier,http://www.wikidata.org/entity/Q975315,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/b568dce2-af77-305b-8faa-26511ccf57dc,gare de Nice-Ville,gare de Nice-Ville,http://www.wikidata.org/entity/Q738970,100.00.00,y
http://data.linkedevents.org/location/transit/Nice/stop/65d8b7dc-6dc4-3f84-b6fe-09c61978c01a,gare de Villefranche-sur-Mer,gare de Villefranche-sur-Mer,http://www.wikidata.org/entity/Q1862280,100.00.00,y
http://data.linkedevents.org/location/88ebcf57-e176-3883-8b22-f797caff9cc7,"[u""Parc d'Estienne d'Orves"", u'parc estiennedorv']",parc d'Estienne-d'Orves,http://www.wikidata.org/entity/Q3363963,100.00.00,y
http://data.linkedevents.org/location/11a68062-02ca-304a-9147-8e786d658773,Église Saint-Jacques-le-Majeur de Nice,église Saint-Jacques-le-Majeur de Nice,http://www.wikidata.org/entity/Q3581839,100.00.00,y
http://data.linkedevents.org/location/8eb77f60-4f44-3a6b-a394-5824478ef725,Église Saint-Roch de Nice,église Saint-Roch de Nice,http://www.wikidata.org/entity/Q3584280,100.00.00,y
http://data.linkedevents.org/location/1316a33b-c466-3465-bbc1-dcf38d5e8257,Église Sainte-Hélène de Nice,église Sainte-Hélène de Nice,http://www.wikidata.org/entity/Q15954021,100.00.00,y
http://data.linkedevents.org/location/7a47c850-88e1-3b25-8ddb-6dcefef9c4c3,Cimetière du Château,cimetière du château (Nice),http://www.wikidata.org/entity/Q2972611,98.08.00,y
