our_match,your_match,doremus_uri,score
http://dbpedia.org/resource/Antonio_Escobar,http://dbpedia.org/resource/Luis_Antonio_Escobar_(composer),http://data.doremus.org/artist/4b37725e-adbc-36dc-9c6d-e00e08a0cf1d,0.54
http://dbpedia.org/resource/Richie_Barrett,http://dbpedia.org/resource/Richard_Barrett_(composer),http://data.doremus.org/artist/75f76bf9-35be-3ad5-a10b-f47d6dd94628,0.5325
http://dbpedia.org/resource/George_Benjamin_Arnold,http://dbpedia.org/resource/George_Benjamin_(composer),http://data.doremus.org/artist/a60e66b4-b10e-3821-9575-ba7fbcff8ed6,0.5275
http://dbpedia.org/resource/John_Hawkins_(author),http://dbpedia.org/resource/John_Hawkins_(Canadian_composer),http://data.doremus.org/artist/d14b4ee0-de88-38c3-bfdd-70594aaa573b,0.5135
http://dbpedia.org/resource/Aleksander_Serov,http://dbpedia.org/resource/Alexander_Serov,http://data.doremus.org/artist/02f0c0ba-09a2-3b85-9de7-f598af5c1fa0,0.5025
http://dbpedia.org/resource/Hélène-Louise_Demars,http://dbpedia.org/resource/Helene,http://data.doremus.org/artist/9b6254d9-88c6-32df-b166-8a2175e64df7,0.5
http://dbpedia.org/resource/Giovanni_Battista_Sammartini,http://dbpedia.org/resource/Giuseppe_Sammartini,http://data.doremus.org/artist/be35c1a5-4f15-3de7-92fc-47191a4c3774,0.5
http://dbpedia.org/resource/Hubert_Giraud,http://dbpedia.org/resource/Hubert_Giraud_(composer),http://data.doremus.org/artist/6feb0b70-efd0-3ef7-b517-99399909d448,0.5
http://dbpedia.org/resource/Arthur_Berger,http://dbpedia.org/resource/Arthur_Berger_(composer),http://data.doremus.org/artist/dc3fc358-7b47-3c5e-a617-ef7bcbb77aa9,0.5
http://dbpedia.org/resource/André-Joseph_Exaudet,http://dbpedia.org/resource/André,http://data.doremus.org/artist/8d124e11-2ce0-3bf9-9579-c8c7dd1eecb6,0.5
